SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,MINERAL_D,FF_D,TOTAL_D,TOTAL_C_1M,TOTAL_C_1M_CFADJ
Shaw et al. 2005,687,Duric Dystric Brunisol,48.630,-123.730,HIGH,100,1,101,124.6,123.4
Shaw et al. 2005,690,Orthic Humo-Ferric Podzol,50.050,-125.350,HIGH,100,1,101,182.8,182.7
Siltanen et al. 1997,1123,Duric Ferro-Humic Podzol,48.600,-124.450,HIGH,100,11,111,934.8,934.8
Siltanen et al. 1997,1274,Orthic Dystric Brunisol,49.080,-125.630,HIGH,100,10,110,226.0,173.3
Siltanen et al. 1997,1774,Duric Ferro-Humic Podzol,52.430,-131.450,HIGH,100,9,109,287.1,287.1
Siltanen et al. 1997,1775,Duric Ferro-Humic Podzol,52.770,-131.560,HIGH,100,20,120,387.6,387.6
Siltanen et al. 1997,1776,Gleyed Ortstein Ferro-Humic Podzol,50.700,-127.970,HIGH,100,30,130,356.9,356.9
Siltanen et al. 1997,1778,Gleyed Ferro-Humic Podzol,50.720,-128.080,HIGH,100,15,115,559.3,559.4
Siltanen et al. 1997,1779,Orthic Humic Gleysol,50.620,-127.220,HIGH,100,21,121,334.4,334.4
Siltanen et al. 1997,1780,Orthic Ferro-Humic Podzol,50.680,-127.900,HIGH,100,12,112,257.6,257.6
Siltanen et al. 1997,1781,Orthic Ferro-Humic Podzol,50.680,-127.730,HIGH,100,25,125,339.7,339.7
Siltanen et al. 1997,1794,Orthic Ferro-Humic Podzol,49.200,-125.320,HIGH,100,23,123,253.6,253.6
Siltanen et al. 1997,1795,Orthic Ferro-Humic Podzol,49.720,-126.000,HIGH,86,15,101,274.5,274.6
Siltanen et al. 1997,1796,Orthic Ferro-Humic Podzol,49.700,-125.240,HIGH,100,6,106,316.2,316.2
Siltanen et al. 1997,1797,Orthic Humo-Ferric Podzol,49.620,-125.150,HIGH,100,2,102,128.4,128.4
Siltanen et al. 1997,1798,Orthic Humo-Ferric Podzol,49.200,-124.080,HIGH,69,3,72,75.1,75.1
Siltanen et al. 1997,1799,Orthic Ferro-Humic Podzol,49.230,-124.610,HIGH,100,5,105,305.7,305.7
Siltanen et al. 1997,1800,Orthic Ferro-Humic Podzol,49.770,-125.250,HIGH,100,7,107,767.9,768.0
Siltanen et al. 1997,1801,Orthic Dystric Brunisol,49.580,-124.970,HIGH,100,3,103,86.2,86.1
Siltanen et al. 1997,1802,Duric Ferro-Humic Podzol,49.320,-125.080,HIGH,100,7,107,241.0,240.9
Moon &  Selby 1988 Rep 64,1885,Orthic Humo-Ferric Podzol,50.200,-127.500,LOW,100,9,109,268.8,268.9
Moon &  Selby 1988 Rep 64,1886,Orthic Ferro-Humic Podzol,50.220,-127.480,LOW,100,3,103,469.1,469.2
Moon &  Selby 1988 Rep 64,1887,Orthic Humo-Ferric Podzol,50.200,-127.500,LOW,100,14,114,215.0,214.3
Moon &  Selby 1988 Rep 64,1888,Gleyed Ferro-Humic Podzol,50.200,-127.500,LOW,100,20,120,387.4,386.4
Moon &  Selby 1988 Rep 64,1889,Orthic Ferro-Humic Podzol,50.230,-127.500,LOW,47,14,61,483.9,484.0
Moon &  Selby 1988 Rep 64,1890,Gleyed Humo-Ferric Podzol,50.200,-127.450,LOW,32,18,50,278.3,242.7
Moon &  Selby 1988 Rep 64,1891,Gleyed Ferro-Humic Podzol,50.200,-127.500,LOW,100,10,110,381.9,381.9
Moon &  Selby 1988 Rep 64,1892,Orthic Dystric Brunisol,50.200,-127.500,LOW,100,0,100,90.3,64.7
Moon &  Selby 1988 Rep 64,1893,Orthic Humo-Ferric Podzol,50.200,-127.500,LOW,100,1,101,308.3,207.6
Moon &  Selby 1988 Rep 64,1894,Orthic Humo-Ferric Podzol,50.200,-127.500,LOW,100,11,111,236.0,187.2
Moon &  Selby 1988 Rep 64,1895,Gleyed Ferro-Humic Podzol,50.200,-127.450,LOW,100,11,111,490.6,490.6
Moon &  Selby 1988 Rep 64,1896,Gleyed Ferro-Humic Podzol,50.230,-127.500,LOW,76,24,100,359.9,359.9
Moon &  Selby 1988 Rep 64,1897,Orthic Ferro-Humic Podzol,50.200,-127.450,LOW,100,12,112,300.6,308.6
Moon &  Selby 1988 Rep 64,1898,Gleyed Humo-Ferric Podzol,50.200,-127.500,LOW,100,0,100,327.1,145.3
Moon &  Selby 1988 Rep 64,1899,Gleyed Humo-Ferric Podzol,50.220,-127.480,LOW,100,2,102,144.7,142.2
Moon &  Selby 1988 Rep 64,1901,Orthic Ferro-Humic Podzol,50.200,-127.500,LOW,100,8,108,117.8,117.8
Moon &  Selby 1988 Rep 64,1902,Orthic Ferro-Humic Podzol,50.200,-127.500,LOW,100,10,110,163.4,156.5
Moon &  Selby 1988 Rep 64,1903,Orthic Ferro-Humic Podzol,50.200,-127.500,LOW,100,13,113,471.4,362.9
Moon &  Selby 1988 Rep 64,1904,Orthic Humo-Ferric Podzol,50.200,-127.500,LOW,100,1,101,87.9,75.8
Van Vliet et al. 1987 Rep bc43-1,2365,Gleyed Humo-Ferric Podzol,49.160,-123.740,HIGH,100,4,104,283.6,195.8
Van Vliet et al. 1987 Rep bc43-1,2368,Orthic Dystric Brunisol,48.740,-123.510,HIGH,100,1,101,97.8,97.7
Van Vliet et al. 1987 Rep bc43-1,2372,Orthic Sombric Brunisol,49.160,-123.790,HIGH,80,3,83,142.5,142.5
Kenney et al. 1988 Rep bc43-2,2379,Gleyed Brunisolic Gray Luvisol,49.000,-123.670,HIGH,100,4,104,157.2,139.0
Kenney et al. 1988 Rep bc43-2,2383,Orthic Dystric Brunisol,48.970,-123.640,HIGH,100,3,103,102.2,102.2
Oswald 1973 Rep BC-43,2888,Orthic Humic Podzol,48.920,-124.970,LOW,100,15,115,431.2,431.7
Oswald 1973 Rep BC-43,2889,Sombric Humo-Ferric Podzol,48.920,-124.970,LOW,100,8,108,573.1,575.8
Oswald 1973 Rep BC-43,2890,Orthic Ferro-Humic Podzol,48.920,-124.970,LOW,100,30,130,420.3,419.3
Oswald 1973 Rep BC-43,2891,Orthic Humic Podzol,48.920,-124.970,LOW,100,35,135,705.2,705.4
Oswald 1973 Rep BC-43,2892,Orthic Humo-Ferric Podzol,48.920,-124.970,LOW,37,8,45,529.2,527.4
Oswald 1973 Rep BC-43,2893,Orthic Humic Podzol,48.920,-124.970,LOW,100,10,110,224.4,224.0
Oswald 1973 Rep BC-43,2894,Orthic Humic Podzol,48.920,-124.970,LOW,100,10,110,226.2,227.5
Oswald 1973 Rep BC-43,2895,Orthic Humic Podzol,48.920,-124.970,LOW,46,18,64,546.1,546.2
Oswald 1973 Rep BC-43,2896,Orthic Humic Podzol,48.920,-124.970,LOW,48,23,71,593.8,595.7
Oswald 1973 Rep BC-43,2897,Orthic Humo-Ferric Podzol,48.920,-124.970,LOW,100,30,130,539.5,538.2
Oswald 1973 Rep BC-43,2898,Orthic Humic Podzol,48.920,-124.970,LOW,100,10,110,610.0,611.1
Oswald 1973 Rep BC-43,2899,Sombric Humo-Ferric Podzol,48.920,-124.970,LOW,100,13,113,624.9,625.4
Oswald 1973 Rep BC-43,2900,Orthic Ferro-Humic Podzol,48.920,-124.970,LOW,61,38,99,581.6,580.2
Oswald 1973 Rep BC-43,2901,Orthic Humic Podzol,48.920,-124.970,LOW,100,18,118,882.1,884.8
Oswald 1973 Rep BC-43,2902,Orthic Humic Podzol,48.920,-124.970,LOW,100,10,110,765.0,766.8
Oswald 1973 Rep BC-43,2903,Sombric Humo-Ferric Podzol,48.920,-124.970,LOW,100,10,110,471.1,471.7
Oswald 1973 Rep BC-43,2904,Orthic Humic Podzol,48.920,-124.970,LOW,94,28,122,631.6,629.4
Oswald 1973 Rep BC-43,2905,Sombric Humo-Ferric Podzol,48.920,-124.970,LOW,76,15,91,359.3,359.1
Oswald 1973 Rep BC-43,2907,Orthic Humic Podzol,48.920,-124.970,LOW,46,13,59,432.6,432.6
Oswald 1973 Rep BC-43,2908,Sombric Humo-Ferric Podzol,48.920,-124.970,LOW,100,0,100,394.1,394.5
Oswald 1973 Rep BC-43,2909,Sombric Humo-Ferric Podzol,48.920,-124.970,LOW,100,33,133,379.5,379.5
Oswald 1973 Rep BC-43,2910,Orthic Humic Podzol,48.920,-124.970,LOW,100,35,135,504.4,502.5
Oswald 1973 Rep BC-43,2911,Orthic Humic Podzol,48.920,-124.970,LOW,69,5,74,447.5,450.7
Oswald 1973 Rep BC-43,2912,Orthic Humo-Ferric Podzol,48.920,-124.970,LOW,53,8,61,370.8,369.5
Oswald 1973 Rep BC-43,2913,Orthic Humic Podzol,48.920,-124.970,LOW,100,13,113,561.1,563.0
Oswald 1973 Rep BC-43,2914,Sombric Humo-Ferric Podzol,48.920,-124.970,LOW,100,0,100,374.1,374.7
Oswald 1973 Rep BC-43,2915,Sombric Ferro-Humic Podzol,48.920,-124.970,LOW,100,8,108,525.4,524.8
Oswald 1973 Rep BC-43,2916,Orthic Ferro-Humic Podzol,48.920,-124.970,LOW,100,0,100,501.8,501.4
Oswald 1973 Rep BC-43,2917,Orthic Ferro-Humic Podzol,48.920,-124.970,LOW,100,0,100,326.4,282.6
Oswald 1973 Rep BC-43,2918,Orthic Ferro-Humic Podzol,48.920,-124.970,LOW,23,15,38,99.3,99.4
Oswald 1973 Rep BC-43,2919,Orthic Humic Podzol,48.920,-124.970,LOW,100,0,100,597.5,486.4
Inselberg et al. 1982 Land Mgmt Rep. 12,2928,Orthic Humo-Ferric Podzol,49.280,-124.670,HIGH,100,1,101,192.8,129.9
Inselberg et al. 1982 Land Mgmt Rep. 12,2929,Orthic Humo-Ferric Podzol,49.280,-124.670,HIGH,100,0,100,265.8,176.8
Inselberg et al. 1982 Land Mgmt Rep. 12,2930,Sombric Humo-Ferric Podzol,49.280,-124.670,HIGH,100,15,115,163.9,163.9
Inselberg et al. 1982 Land Mgmt Rep. 12,2931,Orthic Humic Regosol,49.280,-124.670,HIGH,100,1,101,157.8,106.2
Inselberg et al. 1982 Land Mgmt Rep. 12,2932,Gleyed Sombric Humo-Ferric Podzol,49.280,-124.670,HIGH,90,1,91,333.5,223.7
Inselberg et al. 1982 Land Mgmt Rep. 12,2933,Orthic Humo-Ferric Podzol,49.280,-124.670,HIGH,100,5,105,109.0,94.3
Inselberg et al. 1982 Land Mgmt Rep. 12,2934,Orthic Dystric Brunisol,49.280,-124.670,HIGH,100,6,106,165.4,124.2
Inselberg et al. 1982 Land Mgmt Rep. 12,2935,Orthic Dystric Brunisol,49.280,-124.670,HIGH,100,10,110,124.7,124.7
Inselberg et al. 1982 Land Mgmt Rep. 12,2936,Orthic Humo-Ferric Podzol,49.280,-124.670,HIGH,100,7,107,296.7,210.4
Inselberg et al. 1982 Land Mgmt Rep. 12,2937,Orthic Sombric Brunisol,49.280,-124.670,HIGH,100,1,101,124.6,87.0
Inselberg et al. 1982 Land Mgmt Rep. 12,2938,Orthic Humo-Ferric Podzol,49.280,-124.670,HIGH,100,2,102,191.3,174.2
Inselberg et al. 1982 Land Mgmt Rep. 12,2939,Orthic Humo-Ferric Podzol,49.280,-124.670,HIGH,100,7,107,249.3,136.3
Inselberg et al. 1982 Land Mgmt Rep. 12,2940,Orthic Humo-Ferric Podzol,49.280,-124.670,HIGH,100,20,120,324.7,262.4